ID,Total Population,% Male,% Female,% Hispanic,% White,% Black,% Asian,% Native Americans,% Hawaiian/Pacific Islander,% Other,% Less Than High School,% High School/GED,% More Than High School,% Speak English Not Well,% Foreign-Born entered U.S. after 2010,% Foreign-Born entered U.S. 1990-2009,% Foreign-Born entered U.S. after 1990,% Foreign-Born entered U.S. before 1990,% Below 100 Poverty,% Below 150 Poverty,% SNAP/Food Stamps,Median HH Income,% Employed,% Unemployed,% Not in Labor Force,% Management/Professional Occupation,% Service Occupation,% Sales/Office Occupation,% Natural Resources/Construction/Maitanance Occupation,% Military Occupation,% Production/Transportation/Moving Occupation,% No Health Insurance
39121,14498,0.595,0.405,0.008,0.924,0.054,0.001,0.001,0.000,0.020,0.138,0.514,0.349,0.050,0.049,0.235,0.284,0.272,0.129,0.213,0.113,42171.000,0.303,0.016,0.380,0.224,0.185,0.252,0.087,0.000,0.253,0.056
39123,40769,0.497,0.503,0.049,0.955,0.011,0.002,0.001,0.000,0.031,0.078,0.360,0.562,0.045,0.002,0.190,0.192,0.460,0.105,0.185,0.095,56193.000,0.528,0.028,0.171,0.318,0.185,0.197,0.095,0.000,0.205,0.057
39125,18951,0.501,0.499,0.046,0.950,0.008,0.004,0.002,0.001,0.035,0.100,0.505,0.396,0.134,0.135,0.428,0.562,0.310,0.107,0.185,0.117,49866.000,0.552,0.031,0.197,0.259,0.167,0.171,0.109,0.001,0.293,0.070
39127,35983,0.501,0.499,0.008,0.974,0.004,0.002,0.002,0.000,0.019,0.154,0.453,0.394,0.066,0.170,0.330,0.500,0.266,0.192,0.284,0.224,46477.000,0.509,0.040,0.252,0.268,0.186,0.189,0.132,0.001,0.223,0.078
39129,57075,0.527,0.473,0.013,0.934,0.033,0.004,0.002,0.000,0.027,0.126,0.434,0.440,0.125,0.102,0.421,0.523,0.191,0.120,0.187,0.138,60314.000,0.512,0.029,0.276,0.321,0.162,0.245,0.107,0.000,0.165,0.077
39131,28291,0.498,0.502,0.010,0.959,0.012,0.001,0.004,0.000,0.024,0.196,0.411,0.392,0.049,0.000,0.367,0.367,0.400,0.200,0.314,0.241,43562.000,0.443,0.050,0.294,0.312,0.170,0.196,0.106,0.000,0.216,0.103
39133,162080,0.489,0.511,0.017,0.910,0.041,0.019,0.001,0.000,0.029,0.081,0.372,0.547,0.132,0.439,0.229,0.667,0.227,0.145,0.217,0.116,53816.000,0.576,0.046,0.198,0.323,0.181,0.243,0.082,0.000,0.171,0.065
39135,41328,0.495,0.505,0.008,0.972,0.005,0.004,0.002,0.000,0.017,0.106,0.447,0.446,0.159,0.262,0.097,0.359,0.246,0.124,0.212,0.120,52661.000,0.553,0.035,0.192,0.294,0.188,0.195,0.103,0.000,0.220,0.069
39137,34037,0.499,0.501,0.060,0.947,0.004,0.002,0.000,0.000,0.046,0.073,0.434,0.492,0.100,0.092,0.370,0.462,0.307,0.072,0.149,0.071,61161.000,0.633,0.020,0.140,0.316,0.159,0.173,0.100,0.001,0.251,0.033
39139,121533,0.508,0.492,0.018,0.868,0.078,0.008,0.001,0.000,0.044,0.131,0.404,0.466,0.080,0.119,0.300,0.419,0.415,0.156,0.263,0.166,44138.000,0.484,0.041,0.244,0.281,0.190,0.236,0.080,0.001,0.211,0.095
39141,77125,0.527,0.473,0.012,0.903,0.052,0.006,0.000,0.000,0.039,0.133,0.434,0.433,0.117,0.094,0.359,0.453,0.305,0.182,0.291,0.211,45792.000,0.471,0.040,0.298,0.296,0.191,0.230,0.084,0.001,0.197,0.079
39143,59559,0.495,0.505,0.097,0.899,0.028,0.003,0.002,0.000,0.067,0.105,0.423,0.472,0.132,0.086,0.377,0.463,0.376,0.136,0.228,0.123,50370.000,0.569,0.033,0.179,0.254,0.167,0.198,0.107,0.001,0.274,0.070
39145,76871,0.494,0.506,0.013,0.944,0.029,0.004,0.004,0.000,0.019,0.160,0.410,0.430,0.132,0.213,0.269,0.482,0.211,0.239,0.350,0.273,38978.000,0.431,0.039,0.319,0.338,0.200,0.222,0.094,0.001,0.145,0.075
39147,55549,0.499,0.501,0.049,0.938,0.027,0.006,0.002,0.000,0.028,0.092,0.455,0.453,0.104,0.289,0.228,0.517,0.216,0.152,0.236,0.139,49153.000,0.552,0.036,0.206,0.268,0.164,0.196,0.093,0.000,0.279,0.059
39149,48902,0.505,0.495,0.015,0.943,0.028,0.010,0.003,0.000,0.016,0.094,0.425,0.481,0.178,0.348,0.366,0.715,0.182,0.089,0.176,0.086,57673.000,0.613,0.035,0.159,0.274,0.147,0.204,0.087,0.000,0.287,0.045
39151,374273,0.486,0.514,0.019,0.882,0.071,0.008,0.001,0.000,0.037,0.094,0.377,0.530,0.137,0.106,0.359,0.465,0.373,0.140,0.228,0.143,50117.000,0.550,0.041,0.184,0.323,0.186,0.240,0.084,0.000,0.167,0.065
39153,541318,0.485,0.515,0.020,0.791,0.145,0.030,0.002,0.000,0.032,0.087,0.314,0.599,0.206,0.211,0.425,0.637,0.237,0.136,0.223,0.143,53291.000,0.567,0.040,0.189,0.376,0.169,0.262,0.062,0.000,0.131,0.068
